orientation,time_ms,x,y,z,magnitude
+X,53073,-0.032000,-1.124000,0.284000,1.159765
+X,53152,-0.032000,-1.128000,0.291000,1.165371
+X,53233,-0.029000,-1.127000,0.291000,1.164324
+X,53312,-0.029000,-1.127000,0.291000,1.164324
+X,53393,-0.029000,-1.121000,0.286000,1.157272
+X,53472,-0.032000,-1.128000,0.275000,1.161479
+X,53552,-0.029000,-1.124000,0.284000,1.159687
+X,53633,-0.031000,-1.116000,0.287000,1.152730
+X,53712,-0.032000,-1.121000,0.284000,1.156858
+X,53793,-0.031000,-1.119000,0.291000,1.156634
+X,53872,-0.029000,-1.120000,0.286000,1.156303
+X,53953,-0.032000,-1.121000,0.288000,1.157847
+X,54032,-0.033000,-1.127000,0.294000,1.165184
+X,54112,-0.029000,-1.133000,0.287000,1.169144
+X,54192,-0.029000,-1.113000,0.296000,1.152053
+X,54272,-0.029000,-1.113000,0.296000,1.152053
+X,54352,-0.032000,-1.121000,0.291000,1.158596
+X,54432,-0.029000,-1.127000,0.280000,1.161624
+X,54513,-0.020000,-1.125000,0.275000,1.158296
+X,54592,-0.031000,-1.122000,0.287000,1.158540
+X,54673,-0.026000,-1.125000,0.287000,1.161322
+X,54752,-0.029000,-1.127000,0.288000,1.163578
+X,54833,-0.031000,-1.128000,0.289000,1.164846
+X,54912,-0.031000,-1.128000,0.291000,1.165344
+X,54992,-0.029000,-1.128000,0.287000,1.164300
+X,55072,-0.029000,-1.124000,0.284000,1.159687
+X,55152,-0.031000,-1.124000,0.287000,1.160477
+X,55233,-0.031000,-1.124000,0.287000,1.160477
+X,55312,-0.032000,-1.122000,0.286000,1.158319
+X,55393,-0.032000,-1.114000,0.284000,1.150076
+X,55472,-0.032000,-1.124000,0.284000,1.159765
+X,55553,-0.023000,-1.128000,0.288000,1.164413
+X,55632,-0.029000,-1.121000,0.284000,1.156779
+X,55712,-0.029000,-1.121000,0.295000,1.159529
+X,55792,-0.025000,-1.125000,0.294000,1.163050
+X,55872,-0.031000,-1.114000,0.283000,1.149803
+X,55953,-0.034000,-1.122000,0.287000,1.158624
+X,56032,-0.025000,-1.127000,0.289000,1.163733
+X,56113,-0.033000,-1.124000,0.286000,1.160285
+X,56192,-0.034000,-1.122000,0.292000,1.159872
+X,56273,-0.034000,-1.122000,0.292000,1.159872
+X,56352,-0.032000,-1.117000,0.280000,1.152004
+X,56432,-0.032000,-1.124000,0.280000,1.158792
+X,56513,-0.034000,-1.128000,0.287000,1.164435
+X,56592,-0.032000,-1.125000,0.296000,1.163729
+X,56673,-0.026000,-1.121000,0.284000,1.156708
+X,56752,-0.029000,-1.121000,0.284000,1.156779
+X,56833,-0.029000,-1.124000,0.295000,1.162429
+X,56912,-0.029000,-1.137000,0.283000,1.172049
+X,56992,-0.032000,-1.117000,0.283000,1.152737
+X,57072,-0.029000,-1.124000,0.287000,1.160425
+X,57152,-0.033000,-1.121000,0.299000,1.160660
+X,57233,-0.033000,-1.121000,0.299000,1.160660
+X,57312,-0.020000,-1.122000,0.295000,1.160306
+X,57393,-0.032000,-1.128000,0.302000,1.168166
+X,57472,-0.034000,-1.121000,0.287000,1.157655
+X,57553,-0.032000,-1.124000,0.286000,1.160257
+X,57632,-0.033000,-1.124000,0.296000,1.162790
+X,57713,-0.023000,-1.122000,0.288000,1.158601
+X,57792,-0.032000,-1.128000,0.289000,1.164873
+X,57872,-0.028000,-1.133000,0.284000,1.168387
+X,57953,-0.028000,-1.114000,0.287000,1.150717
+X,58032,-0.029000,-1.120000,0.286000,1.156303
+X,58113,-0.029000,-1.124000,0.287000,1.160425
+X,58192,-0.029000,-1.124000,0.287000,1.160425
+X,58273,-0.039000,-1.128000,0.286000,1.164346
+X,58352,-0.034000,-1.128000,0.291000,1.165427
+X,58433,-0.032000,-1.129000,0.288000,1.165594
+X,58512,-0.025000,-1.120000,0.284000,1.155717
+X,58593,-0.026000,-1.120000,0.284000,1.155739
+X,58672,-0.031000,-1.122000,0.284000,1.157800
+X,58752,-0.025000,-1.126000,0.281000,1.160802
+X,58833,-0.028000,-1.124000,0.287000,1.160400
+X,58912,-0.033000,-1.124000,0.280000,1.158820
+X,58993,-0.032000,-1.124000,0.287000,1.160504
