sample_index,original_orientation,orientation,time_ms,calibrated_z_g,ideal_z_g,signed_error_g
0,+X,-Y,53073,-0.010839411,0.0,-0.010839411
1,+X,-Y,53152,-0.003951935,0.0,-0.003951935
2,+X,-Y,53233,-0.003951935,0.0,-0.003951935
3,+X,-Y,53312,-0.003951935,0.0,-0.003951935
4,+X,-Y,53393,-0.008871561,0.0,-0.008871561
5,+X,-Y,53472,-0.019694737,0.0,-0.019694737
6,+X,-Y,53552,-0.010839411,0.0,-0.010839411
7,+X,-Y,53633,-0.007887636,0.0,-0.007887636
8,+X,-Y,53712,-0.010839411,0.0,-0.010839411
9,+X,-Y,53793,-0.003951935,0.0,-0.003951935
10,+X,-Y,53872,-0.008871561,0.0,-0.008871561
11,+X,-Y,53953,-0.006903711,0.0,-0.006903711
12,+X,-Y,54032,-0.001000160,0.0,-0.001000160
13,+X,-Y,54112,-0.007887636,0.0,-0.007887636
14,+X,-Y,54192,0.000967690,0.0,0.000967690
15,+X,-Y,54272,0.000967690,0.0,0.000967690
16,+X,-Y,54352,-0.003951935,0.0,-0.003951935
17,+X,-Y,54432,-0.014775112,0.0,-0.014775112
18,+X,-Y,54513,-0.019694737,0.0,-0.019694737
19,+X,-Y,54592,-0.007887636,0.0,-0.007887636
20,+X,-Y,54673,-0.007887636,0.0,-0.007887636
21,+X,-Y,54752,-0.006903711,0.0,-0.006903711
22,+X,-Y,54833,-0.005919786,0.0,-0.005919786
23,+X,-Y,54912,-0.003951935,0.0,-0.003951935
24,+X,-Y,54992,-0.007887636,0.0,-0.007887636
25,+X,-Y,55072,-0.010839411,0.0,-0.010839411
26,+X,-Y,55152,-0.007887636,0.0,-0.007887636
27,+X,-Y,55233,-0.007887636,0.0,-0.007887636
28,+X,-Y,55312,-0.008871561,0.0,-0.008871561
29,+X,-Y,55393,-0.010839411,0.0,-0.010839411
30,+X,-Y,55472,-0.010839411,0.0,-0.010839411
31,+X,-Y,55553,-0.006903711,0.0,-0.006903711
32,+X,-Y,55632,-0.010839411,0.0,-0.010839411
33,+X,-Y,55712,-0.000016235,0.0,-0.000016235
34,+X,-Y,55792,-0.001000160,0.0,-0.001000160
35,+X,-Y,55872,-0.011823336,0.0,-0.011823336
36,+X,-Y,55953,-0.007887636,0.0,-0.007887636
37,+X,-Y,56032,-0.005919786,0.0,-0.005919786
38,+X,-Y,56113,-0.008871561,0.0,-0.008871561
39,+X,-Y,56192,-0.002968010,0.0,-0.002968010
40,+X,-Y,56273,-0.002968010,0.0,-0.002968010
41,+X,-Y,56352,-0.014775112,0.0,-0.014775112
42,+X,-Y,56432,-0.014775112,0.0,-0.014775112
43,+X,-Y,56513,-0.007887636,0.0,-0.007887636
44,+X,-Y,56592,0.000967690,0.0,0.000967690
45,+X,-Y,56673,-0.010839411,0.0,-0.010839411
46,+X,-Y,56752,-0.010839411,0.0,-0.010839411
47,+X,-Y,56833,-0.000016235,0.0,-0.000016235
48,+X,-Y,56912,-0.011823336,0.0,-0.011823336
49,+X,-Y,56992,-0.011823336,0.0,-0.011823336
50,+X,-Y,57072,-0.007887636,0.0,-0.007887636
51,+X,-Y,57152,0.003919466,0.0,0.003919466
52,+X,-Y,57233,0.003919466,0.0,0.003919466
53,+X,-Y,57312,-0.000016235,0.0,-0.000016235
54,+X,-Y,57393,0.006871241,0.0,0.006871241
55,+X,-Y,57472,-0.007887636,0.0,-0.007887636
56,+X,-Y,57553,-0.008871561,0.0,-0.008871561
57,+X,-Y,57632,0.000967690,0.0,0.000967690
58,+X,-Y,57713,-0.006903711,0.0,-0.006903711
59,+X,-Y,57792,-0.005919786,0.0,-0.005919786
60,+X,-Y,57872,-0.010839411,0.0,-0.010839411
61,+X,-Y,57953,-0.007887636,0.0,-0.007887636
62,+X,-Y,58032,-0.008871561,0.0,-0.008871561
63,+X,-Y,58113,-0.007887636,0.0,-0.007887636
64,+X,-Y,58192,-0.007887636,0.0,-0.007887636
65,+X,-Y,58273,-0.008871561,0.0,-0.008871561
66,+X,-Y,58352,-0.003951935,0.0,-0.003951935
67,+X,-Y,58433,-0.006903711,0.0,-0.006903711
68,+X,-Y,58512,-0.010839411,0.0,-0.010839411
69,+X,-Y,58593,-0.010839411,0.0,-0.010839411
70,+X,-Y,58672,-0.010839411,0.0,-0.010839411
71,+X,-Y,58752,-0.013791186,0.0,-0.013791186
72,+X,-Y,58833,-0.007887636,0.0,-0.007887636
73,+X,-Y,58912,-0.014775112,0.0,-0.014775112
74,+X,-Y,58993,-0.007887636,0.0,-0.007887636
75,+X,-Y,59072,-0.010839411,0.0,-0.010839411
76,+X,-Y,59153,-0.010839411,0.0,-0.010839411
77,+X,-Y,59232,-0.008871561,0.0,-0.008871561
78,+X,-Y,59313,-0.007887636,0.0,-0.007887636
79,+X,-Y,59392,-0.003951935,0.0,-0.003951935
80,+X,-Y,59472,-0.005919786,0.0,-0.005919786
81,+X,-Y,59553,-0.010839411,0.0,-0.010839411
82,+X,-Y,59632,-0.014775112,0.0,-0.014775112
83,+X,-Y,59713,-0.013791186,0.0,-0.013791186
84,+X,-Y,59792,-0.006903711,0.0,-0.006903711
85,+X,-Y,59873,-0.001000160,0.0,-0.001000160
86,+X,-Y,59952,-0.014775112,0.0,-0.014775112
87,+X,-Y,60033,-0.010839411,0.0,-0.010839411
88,+X,-Y,60112,-0.010839411,0.0,-0.010839411
89,+X,-Y,60192,-0.007887636,0.0,-0.007887636
90,+X,-Y,60272,-0.003951935,0.0,-0.003951935
91,+X,-Y,60352,-0.014775112,0.0,-0.014775112
92,+X,-Y,60433,-0.010839411,0.0,-0.010839411
93,+X,-Y,60512,-0.007887636,0.0,-0.007887636
94,+X,-Y,60593,-0.008871561,0.0,-0.008871561
95,+X,-Y,60672,-0.010839411,0.0,-0.010839411
96,+X,-Y,60753,-0.010839411,0.0,-0.010839411
97,+X,-Y,60832,-0.008871561,0.0,-0.008871561
98,+X,-Y,60913,-0.007887636,0.0,-0.007887636
99,+X,-Y,60992,-0.007887636,0.0,-0.007887636
100,+X,-Y,61072,-0.007887636,0.0,-0.007887636
101,+X,-Y,61152,-0.003951935,0.0,-0.003951935
102,+X,-Y,61232,-0.015759037,0.0,-0.015759037
103,+X,-Y,61313,-0.010839411,0.0,-0.010839411
104,+X,-Y,61392,-0.007887636,0.0,-0.007887636
105,+X,-Y,61473,-0.010839411,0.0,-0.010839411
106,+X,-Y,61552,-0.014775112,0.0,-0.014775112
107,+X,-Y,61633,-0.011823336,0.0,-0.011823336
108,+X,-Y,61712,-0.007887636,0.0,-0.007887636
109,+X,-Y,61792,-0.006903711,0.0,-0.006903711
110,+X,-Y,61872,-0.010839411,0.0,-0.010839411
111,+X,-Y,61952,-0.010839411,0.0,-0.010839411
112,+X,-Y,62033,-0.007887636,0.0,-0.007887636
113,+X,-Y,62112,-0.007887636,0.0,-0.007887636
114,+X,-Y,62193,-0.007887636,0.0,-0.007887636
115,+X,-Y,62272,-0.011823336,0.0,-0.011823336
116,+X,-Y,62353,-0.007887636,0.0,-0.007887636
117,+X,-Y,62432,-0.007887636,0.0,-0.007887636
118,+X,-Y,62513,0.000967690,0.0,0.000967690
