sample_index,original_orientation,orientation,time_ms,raw_x_g,corrected_x_g,ideal_x_g,raw_signed_error_g,corrected_signed_error_g
0,+X,-Y,53073,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
1,+X,-Y,53152,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
2,+X,-Y,53233,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
3,+X,-Y,53312,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
4,+X,-Y,53393,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
5,+X,-Y,53472,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
6,+X,-Y,53552,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
7,+X,-Y,53633,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
8,+X,-Y,53712,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
9,+X,-Y,53793,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
10,+X,-Y,53872,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
11,+X,-Y,53953,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
12,+X,-Y,54032,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
13,+X,-Y,54112,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
14,+X,-Y,54192,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
15,+X,-Y,54272,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
16,+X,-Y,54352,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
17,+X,-Y,54432,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
18,+X,-Y,54513,-0.020000000,0.038246993,0.0,-0.020000000,0.038246993
19,+X,-Y,54592,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
20,+X,-Y,54673,-0.026000000,0.032281541,0.0,-0.026000000,0.032281541
21,+X,-Y,54752,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
22,+X,-Y,54833,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
23,+X,-Y,54912,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
24,+X,-Y,54992,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
25,+X,-Y,55072,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
26,+X,-Y,55152,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
27,+X,-Y,55233,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
28,+X,-Y,55312,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
29,+X,-Y,55393,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
30,+X,-Y,55472,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
31,+X,-Y,55553,-0.023000000,0.035264267,0.0,-0.023000000,0.035264267
32,+X,-Y,55632,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
33,+X,-Y,55712,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
34,+X,-Y,55792,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
35,+X,-Y,55872,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
36,+X,-Y,55953,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
37,+X,-Y,56032,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
38,+X,-Y,56113,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
39,+X,-Y,56192,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
40,+X,-Y,56273,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
41,+X,-Y,56352,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
42,+X,-Y,56432,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
43,+X,-Y,56513,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
44,+X,-Y,56592,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
45,+X,-Y,56673,-0.026000000,0.032281541,0.0,-0.026000000,0.032281541
46,+X,-Y,56752,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
47,+X,-Y,56833,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
48,+X,-Y,56912,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
49,+X,-Y,56992,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
50,+X,-Y,57072,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
51,+X,-Y,57152,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
52,+X,-Y,57233,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
53,+X,-Y,57312,-0.020000000,0.038246993,0.0,-0.020000000,0.038246993
54,+X,-Y,57393,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
55,+X,-Y,57472,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
56,+X,-Y,57553,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
57,+X,-Y,57632,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
58,+X,-Y,57713,-0.023000000,0.035264267,0.0,-0.023000000,0.035264267
59,+X,-Y,57792,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
60,+X,-Y,57872,-0.028000000,0.030293058,0.0,-0.028000000,0.030293058
61,+X,-Y,57953,-0.028000000,0.030293058,0.0,-0.028000000,0.030293058
62,+X,-Y,58032,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
63,+X,-Y,58113,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
64,+X,-Y,58192,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
65,+X,-Y,58273,-0.039000000,0.019356397,0.0,-0.039000000,0.019356397
66,+X,-Y,58352,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
67,+X,-Y,58433,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
68,+X,-Y,58512,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
69,+X,-Y,58593,-0.026000000,0.032281541,0.0,-0.026000000,0.032281541
70,+X,-Y,58672,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
71,+X,-Y,58752,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
72,+X,-Y,58833,-0.028000000,0.030293058,0.0,-0.028000000,0.030293058
73,+X,-Y,58912,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
74,+X,-Y,58993,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
75,+X,-Y,59072,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
76,+X,-Y,59153,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
77,+X,-Y,59232,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
78,+X,-Y,59313,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
79,+X,-Y,59392,-0.026000000,0.032281541,0.0,-0.026000000,0.032281541
80,+X,-Y,59472,-0.021000000,0.037252751,0.0,-0.021000000,0.037252751
81,+X,-Y,59553,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
82,+X,-Y,59632,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
83,+X,-Y,59713,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
84,+X,-Y,59792,-0.036000000,0.022339123,0.0,-0.036000000,0.022339123
85,+X,-Y,59873,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
86,+X,-Y,59952,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
87,+X,-Y,60033,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
88,+X,-Y,60112,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
89,+X,-Y,60192,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
90,+X,-Y,60272,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
91,+X,-Y,60352,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
92,+X,-Y,60433,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
93,+X,-Y,60512,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
94,+X,-Y,60593,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
95,+X,-Y,60672,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
96,+X,-Y,60753,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
97,+X,-Y,60832,-0.026000000,0.032281541,0.0,-0.026000000,0.032281541
98,+X,-Y,60913,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
99,+X,-Y,60992,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
100,+X,-Y,61072,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
101,+X,-Y,61152,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
102,+X,-Y,61232,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
103,+X,-Y,61313,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
104,+X,-Y,61392,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
105,+X,-Y,61473,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
106,+X,-Y,61552,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
107,+X,-Y,61633,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
108,+X,-Y,61712,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
109,+X,-Y,61792,-0.034000000,0.024327607,0.0,-0.034000000,0.024327607
110,+X,-Y,61872,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
111,+X,-Y,61952,-0.031000000,0.027310332,0.0,-0.031000000,0.027310332
112,+X,-Y,62033,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
113,+X,-Y,62112,-0.029000000,0.029298816,0.0,-0.029000000,0.029298816
114,+X,-Y,62193,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
115,+X,-Y,62272,-0.020000000,0.038246993,0.0,-0.020000000,0.038246993
116,+X,-Y,62353,-0.033000000,0.025321849,0.0,-0.033000000,0.025321849
117,+X,-Y,62432,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
118,+X,-Y,62513,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
119,+X,-Y,62592,-0.025000000,0.033275783,0.0,-0.025000000,0.033275783
120,+X,-Y,62672,-0.032000000,0.026316090,0.0,-0.032000000,0.026316090
