sample_index,original_orientation,orientation,time_ms,raw_y_g,corrected_y_g,ideal_y_g,raw_signed_error_g,corrected_signed_error_g
0,+X,-Y,53073,-1.124000000,-1.000543465,-1.0,-0.124000000,-0.000543465
1,+X,-Y,53152,-1.128000000,-1.004278620,-1.0,-0.128000000,-0.004278620
2,+X,-Y,53233,-1.127000000,-1.003344831,-1.0,-0.127000000,-0.003344831
3,+X,-Y,53312,-1.127000000,-1.003344831,-1.0,-0.127000000,-0.003344831
4,+X,-Y,53393,-1.121000000,-0.997742099,-1.0,-0.121000000,0.002257901
5,+X,-Y,53472,-1.128000000,-1.004278620,-1.0,-0.128000000,-0.004278620
6,+X,-Y,53552,-1.124000000,-1.000543465,-1.0,-0.124000000,-0.000543465
7,+X,-Y,53633,-1.116000000,-0.993073155,-1.0,-0.116000000,0.006926845
8,+X,-Y,53712,-1.121000000,-0.997742099,-1.0,-0.121000000,0.002257901
9,+X,-Y,53793,-1.119000000,-0.995874521,-1.0,-0.119000000,0.004125479
10,+X,-Y,53872,-1.120000000,-0.996808310,-1.0,-0.120000000,0.003191690
11,+X,-Y,53953,-1.121000000,-0.997742099,-1.0,-0.121000000,0.002257901
12,+X,-Y,54032,-1.127000000,-1.003344831,-1.0,-0.127000000,-0.003344831
13,+X,-Y,54112,-1.133000000,-1.008947564,-1.0,-0.133000000,-0.008947564
14,+X,-Y,54192,-1.113000000,-0.990271789,-1.0,-0.113000000,0.009728211
15,+X,-Y,54272,-1.113000000,-0.990271789,-1.0,-0.113000000,0.009728211
16,+X,-Y,54352,-1.121000000,-0.997742099,-1.0,-0.121000000,0.002257901
17,+X,-Y,54432,-1.127000000,-1.003344831,-1.0,-0.127000000,-0.003344831
18,+X,-Y,54513,-1.125000000,-1.001477254,-1.0,-0.125000000,-0.001477254
19,+X,-Y,54592,-1.122000000,-0.998675888,-1.0,-0.122000000,0.001324112
20,+X,-Y,54673,-1.125000000,-1.001477254,-1.0,-0.125000000,-0.001477254
21,+X,-Y,54752,-1.127000000,-1.003344831,-1.0,-0.127000000,-0.003344831
